ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
mRb7SnXT0zU,05/05/2026,https://www.youtube.com/watch?v=mRb7SnXT0zU,Cânceres mais comuns nas mulheres na maturidade: como prevenir e rastrear? | EP7T3,Videos,,einstein_Parte_5,Sucesso,2026-06-23
orZMAry4RVM,29/04/2026,https://www.youtube.com/watch?v=orZMAry4RVM,Relatório de Sustentabilidade 2025 | Impacto que gera valor,Videos,,einstein_Parte_5,Sucesso,2026-06-23
oGMOTmZAOsw,28/04/2026,https://www.youtube.com/watch?v=oGMOTmZAOsw,Menopausa e saúde do coração: o que mudar no estilo de vida depois dos 50 | EP6T3,Videos,,einstein_Parte_5,Sucesso,2026-06-23
76OZg_QZ-NE,21/04/2026,https://www.youtube.com/watch?v=76OZg_QZ-NE,Guia prático de hábitos saudáveis: o que mudar no estilo de vida depois dos 50? | EP5T3,Videos,,einstein_Parte_5,Sucesso,2026-06-23
_YR7WJKH2Ho,14/04/2026,https://www.youtube.com/watch?v=_YR7WJKH2Ho,"Reposição hormonal e menopausa: benefícios, riscos e mitos | EP4T3",Videos,,einstein_Parte_6,Sucesso,2026-06-23
Re2KeEYm1EQ,07/04/2026,https://www.youtube.com/watch?v=Re2KeEYm1EQ,A sobrecarga das mulheres da geração sanduíche: quem cuida de quem cuida? | EP3T3,Videos,,einstein_Parte_6,Sucesso,2026-06-23
2giVPeWMMks,03/04/2026,https://www.youtube.com/watch?v=2giVPeWMMks,Inteligência artificial na pesquisa: como fazer ciência em tempos de incertezas?,Videos,,einstein_Parte_6,Sucesso,2026-06-23
H8UrHIYm6QU,01/04/2026,https://www.youtube.com/watch?v=H8UrHIYm6QU,Chag Pessach Sameach | Einstein Hospital Israelita (2026),Videos,,einstein_Parte_6,Sucesso,2026-06-23
29WumVI_f-M,31/03/2026,https://www.youtube.com/watch?v=29WumVI_f-M,"Climatério, perimenopausa ou menopausa: afinal, em que fase estou? | EP2T3",Videos,,einstein_Parte_7,Sucesso,2026-06-23
fQ40FumX6UM,30/03/2026,https://www.youtube.com/watch?v=fQ40FumX6UM,HIFU: tecnologia inovadora para tratamento de casos da Doença de Parkinson e Tremor Essencial,Videos,,einstein_Parte_7,Sucesso,2026-06-23
C1uaL52udR4,24/03/2026,https://www.youtube.com/watch?v=C1uaL52udR4,"Saúde da mulher 40+: climatério, reposição hormonal e como envelhecer melhor | EP1T3",Videos,,einstein_Parte_7,Sucesso,2026-06-23
3K2HeWNsfjU,20/03/2026,https://www.youtube.com/watch?v=3K2HeWNsfjU,Einstein no SXSW 2026 | Tecnologia para a resiliência climática dos sistemas de saúde,Videos,,einstein_Parte_7,Sucesso,2026-06-23
ln4P_pjOnuo,17/03/2026,https://www.youtube.com/watch?v=ln4P_pjOnuo,O Que Te Trouxe Aqui? | Podcast | Terceira temporada,Videos,,einstein_Parte_7,Sucesso,2026-06-23
